Testing with Activation Function: ReLU
Epoch [152/1000] - Loss: 0.3409
Epoch [153/1000] - Loss: 0.3322
Epoch [154/1000] - Loss: 0.3532
Epoch [155/1000] - Loss: 0.3435
Epoch [156/1000] - Loss: 0.3333
Epoch [157/1000] - Loss: 0.3327
Epoch [158/1000] - Loss: 0.3373
Epoch [159/1000] - Loss: 0.3440
Epoch [160/1000] - Loss: 0.3415
Epoch [161/1000] - Loss: 0.3342
Epoch [162/1000] - Loss: 0.3450
Epoch [163/1000] - Loss: 0.3585
Epoch [164/1000] - Loss: 0.3316
Epoch [165/1000] - Loss: 0.3560
Epoch [166/1000] - Loss: 0.3333
Epoch [167/1000] - Loss: 0.3259
Epoch [168/1000] - Loss: 0.3286
Epoch [169/1000] - Loss: 0.3378
Epoch [170/1000] - Loss: 0.3403
Epoch [171/1000] - Loss: 0.3382
Epoch [172/1000] - Loss: 0.3280
Epoch [173/1000] - Loss: 0.3403
Epoch [174/1000] - Loss: 0.3313
Epoch [175/1000] - Loss: 0.3246
Epoch [176/1000] - Loss: 0.3347
Epoch [177/1000] - Loss: 0.3390
Epoch [178/1000] - Loss: 0.3250
Epoch [179/1000] - Loss: 0.3318
Epoch [180/1000] - Loss: 0.3217
Epoch [181/1000] - Loss: 0.3284
Epoch [182/1000] - Loss: 0.3229
Epoch [183/1000] - Loss: 0.3252
Epoch [184/1000] - Loss: 0.3242
Epoch [185/1000] - Loss: 0.3315
Epoch [186/1000] - Loss: 0.3328
Epoch [187/1000] - Loss: 0.3423
Epoch [188/1000] - Loss: 0.3450
Epoch [189/1000] - Loss: 0.3358
Epoch [190/1000] - Loss: 0.3281
Epoch [191/1000] - Loss: 0.3474
Epoch [192/1000] - Loss: 0.3378
Epoch [193/1000] - Loss: 0.3247
Epoch [194/1000] - Loss: 0.3225
Epoch [195/1000] - Loss: 0.3277
Epoch [196/1000] - Loss: 0.3240
Epoch [197/1000] - Loss: 0.3139
Epoch [198/1000] - Loss: 0.3340
Epoch [199/1000] - Loss: 0.3137
Epoch [200/1000] - Loss: 0.3205
Epoch [201/1000] - Loss: 0.3256
Epoch [202/1000] - Loss: 0.3258
Epoch [203/1000] - Loss: 0.3147
Epoch [204/1000] - Loss: 0.3264
Epoch [205/1000] - Loss: 0.3104
Epoch [206/1000] - Loss: 0.3164
Epoch [207/1000] - Loss: 0.3213
Epoch [208/1000] - Loss: 0.3171
Epoch [209/1000] - Loss: 0.3171
Epoch [210/1000] - Loss: 0.3471
Epoch [211/1000] - Loss: 0.3198
Epoch [212/1000] - Loss: 0.3324
Epoch [213/1000] - Loss: 0.3230
Epoch [214/1000] - Loss: 0.3185
Epoch [215/1000] - Loss: 0.3331
Epoch [216/1000] - Loss: 0.3180
Epoch [217/1000] - Loss: 0.3162
Epoch [218/1000] - Loss: 0.3086
Epoch [219/1000] - Loss: 0.3225
Epoch [220/1000] - Loss: 0.3082
Epoch [221/1000] - Loss: 0.3237
Epoch [222/1000] - Loss: 0.3107
Epoch [223/1000] - Loss: 0.3284
Epoch [224/1000] - Loss: 0.3108
Epoch [225/1000] - Loss: 0.3119
Epoch [226/1000] - Loss: 0.3122
Epoch [227/1000] - Loss: 0.3114
Epoch [228/1000] - Loss: 0.3276
Epoch [229/1000] - Loss: 0.3271
Epoch [230/1000] - Loss: 0.3042
Epoch [231/1000] - Loss: 0.3149
Epoch [232/1000] - Loss: 0.3035
Epoch [233/1000] - Loss: 0.3615
Epoch [234/1000] - Loss: 0.3157
Epoch [235/1000] - Loss: 0.3214
Epoch [236/1000] - Loss: 0.3054
Epoch [237/1000] - Loss: 0.3046
Epoch [238/1000] - Loss: 0.3100
Epoch [239/1000] - Loss: 0.3221
Epoch [240/1000] - Loss: 0.3325
Epoch [241/1000] - Loss: 0.3234
Epoch [242/1000] - Loss: 0.3119
Epoch [243/1000] - Loss: 0.3109
Epoch [244/1000] - Loss: 0.3206
Epoch [245/1000] - Loss: 0.3036
Epoch [246/1000] - Loss: 0.3045
Epoch [247/1000] - Loss: 0.3029
Epoch [248/1000] - Loss: 0.3059
Epoch [249/1000] - Loss: 0.3030
Epoch [250/1000] - Loss: 0.3079
Epoch [251/1000] - Loss: 0.3144
Epoch [252/1000] - Loss: 0.3126
Epoch [253/1000] - Loss: 0.3042
Epoch [254/1000] - Loss: 0.3095
Epoch [255/1000] - Loss: 0.3010
Epoch [256/1000] - Loss: 0.3017
Epoch [257/1000] - Loss: 0.3019
Epoch [258/1000] - Loss: 0.3017
Epoch [259/1000] - Loss: 0.3030
Epoch [260/1000] - Loss: 0.2994
Epoch [261/1000] - Loss: 0.3051
Epoch [262/1000] - Loss: 0.3021
Epoch [263/1000] - Loss: 0.3125
Epoch [264/1000] - Loss: 0.3288
Epoch [265/1000] - Loss: 0.3136
Epoch [266/1000] - Loss: 0.2970
Epoch [267/1000] - Loss: 0.2981
Epoch [268/1000] - Loss: 0.2975
Epoch [269/1000] - Loss: 0.3024
Epoch [270/1000] - Loss: 0.2894
Epoch [271/1000] - Loss: 0.3016
Epoch [272/1000] - Loss: 0.3024
Epoch [273/1000] - Loss: 0.3082
Epoch [274/1000] - Loss: 0.3074
Epoch [275/1000] - Loss: 0.2956
Epoch [276/1000] - Loss: 0.2870
Epoch [277/1000] - Loss: 0.2890
Epoch [278/1000] - Loss: 0.3077
Epoch [279/1000] - Loss: 0.3105
Epoch [280/1000] - Loss: 0.2949
Epoch [281/1000] - Loss: 0.3237
Epoch [282/1000] - Loss: 0.3607
Epoch [283/1000] - Loss: 0.3029
Epoch [284/1000] - Loss: 0.3211
Epoch [285/1000] - Loss: 0.3002
Epoch [286/1000] - Loss: 0.2875
Epoch [287/1000] - Loss: 0.2949
Epoch [288/1000] - Loss: 0.2925
Epoch [289/1000] - Loss: 0.2938
Epoch [290/1000] - Loss: 0.2866
Epoch [291/1000] - Loss: 0.2906
Epoch [292/1000] - Loss: 0.2888
Epoch [293/1000] - Loss: 0.3003
Epoch [294/1000] - Loss: 0.3030
Epoch [295/1000] - Loss: 0.3180
Epoch [296/1000] - Loss: 0.3031
Epoch [297/1000] - Loss: 0.2996
Epoch [298/1000] - Loss: 0.2943
Epoch [299/1000] - Loss: 0.2829
Epoch [300/1000] - Loss: 0.2898
Epoch [301/1000] - Loss: 0.3018
Epoch [302/1000] - Loss: 0.2828
Epoch [303/1000] - Loss: 0.2847
Epoch [304/1000] - Loss: 0.2908
Epoch [305/1000] - Loss: 0.2866
Epoch [306/1000] - Loss: 0.2933
Epoch [307/1000] - Loss: 0.2888
Epoch [308/1000] - Loss: 0.2871
Epoch [309/1000] - Loss: 0.2812
Epoch [310/1000] - Loss: 0.2826
Epoch [311/1000] - Loss: 0.2847
Epoch [312/1000] - Loss: 0.2915
Epoch [313/1000] - Loss: 0.2806
Epoch [314/1000] - Loss: 0.2890
Epoch [315/1000] - Loss: 0.2797
Epoch [316/1000] - Loss: 0.3058
Epoch [317/1000] - Loss: 0.3173
Epoch [318/1000] - Loss: 0.2895
Epoch [319/1000] - Loss: 0.2831
